"MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power"
"line1het_LDDD_1_n=32","29.3333333333333","51.767739327408","line1het_LDDD_2_n=15","29.3333333333333","51.767739327408","WT_LDDD_2_n=8","23.6666666666667","2190.76070864733","WT_LDDD_1_n=32","23.6666666666667","2190.76070864733","line1hom_LDDD_1_n=24","20.5","67.0691214589356"
"line1het_LDDD_1_n=32","21.5","84.5085434004034","line1het_LDDD_2_n=15","21.5","84.5085434004034","WT_LDDD_2_n=8","22.8333333333333","538.054831681344","WT_LDDD_1_n=32","22.8333333333333","538.054831681344","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","136.284452197693","WT_LDDD_1_n=32","22.8333333333333","136.284452197693","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","1280.98058704072","WT_LDDD_1_n=32","22.8333333333333","1280.98058704072","line1hom_LDDD_1_n=24","31.8333333333333","124.397931986366"
"line1het_LDDD_1_n=32","26.1666666666667","47.875369434","line1het_LDDD_2_n=15","26.1666666666667","47.875369434","WT_LDDD_2_n=8","22.1666666666667","304.351742578129","WT_LDDD_1_n=32","22.1666666666667","304.351742578129","line1hom_LDDD_1_n=24","20.5","104.383095514908"
"line1het_LDDD_1_n=32","28.3333333333333","285.098893745883","line1het_LDDD_2_n=15","28.3333333333333","285.098893745883","WT_LDDD_2_n=8","22.5","273.200631020889","WT_LDDD_1_n=32","22.5","273.200631020889","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","28.8333333333333","145.805473835442","line1het_LDDD_2_n=15","28.8333333333333","145.805473835442","WT_LDDD_2_n=8","23.5","389.73819471212","WT_LDDD_1_n=32","23.5","389.73819471212","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","22.6666666666667","559.704522232264","line1het_LDDD_2_n=15","22.6666666666667","559.704522232264","WT_LDDD_2_n=8","23.5","308.092531879751","WT_LDDD_1_n=32","23.5","308.092531879751","line1hom_LDDD_1_n=24","20.5","67.0691214589356"
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.6666666666667","512.807144426712","WT_LDDD_1_n=32","22.6666666666667","512.807144426712","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","645.058318256644","WT_LDDD_1_n=32","22.8333333333333","645.058318256644","line1hom_LDDD_1_n=24","24.6666666666667","10.8773427074523"
